Track,Album Name,Artist,ISRC,image_url
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,QM24S2402528,https://i.scdn.co/image/ab67616d0000b27301c0cd5da820e6128655854f
Not Like Us,Not Like Us,Kendrick Lamar,USUG12400910,https://i.scdn.co/image/ab67616d0000b2731ea0c62b2339cbf493a999ad
i like the way you kiss me,I like the way you kiss me,Artemas,QZJ842400387,https://i.scdn.co/image/ab67616d0000b273e67611dbbf69a90d0b6cb738
Flowers,Flowers - Single,Miley Cyrus,USSM12209777,https://i.scdn.co/image/ab67616d0000b273cd222052a2594be29a6616b5
Houdini,Houdini,Eminem,USUG12403398,https://i.scdn.co/image/ab67616d0000b273810603c94c9246379604cf1a
Lovin On Me,Lovin On Me,Jack Harlow,USAT22311371,https://i.scdn.co/image/ab67616d0000b273fcf4adae77baba5d0169e8e8
Beautiful Things,Beautiful Things,Benson Boone,USWB12307016,https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40
Gata Only,Gata Only,FloyyMenor,QZL382406049,https://i.scdn.co/image/ab67616d0000b273c4583f3ad76630879a75450a
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,TCJPA2463708,https://i.scdn.co/image/ab67616d0000b273be68e2d0e4b5694163328efb
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,USSM12404354,https://i.scdn.co/image/ab67616d0000b2737b588bf0555bde606f8b27c7
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,USUM72404990,https://i.scdn.co/image/ab67616d0000b27397306976e3eb8aad53b754eb
The Door,The Door,Teddy Swims,USWB12402486,https://i.scdn.co/image/ab67616d0000b2731a0323cc23419360a34a3ace
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,USUM72401991,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62
Like That,WE DON'T TRUST YOU,Future,USSM12402041,https://i.scdn.co/image/ab67616d0000b273a46b07c291e6dfdee13b3ee8
bathroom floor,bathroom floor,Kids With Buns,NLC242100307,https://i.scdn.co/image/ab67616d0000b2738c4c19ebfa83b429e1ebaa1f
LALA,LALA - Single,Myke Towers,USWL12300002,https://i.scdn.co/image/ab67616d0000b2730656d5ce813ca3cc4b677e05
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,USUG12401028,https://i.scdn.co/image/ab67616d0000b2735076e4160d018e378f488c33
